0,51
500,63974
1000,128745
1500,192001
2000,256028
2500,320156
2500,320198
2000,256177
1500,192356
1000,127558
500,64200
0,354
0,453
1000,128375
2000,257600
3000,384133
4000,513027
5000,641919
5500,706371
6000,772189
6500,836554
7000,899999
7500,965330
7500,964943
7000,900447
6500,836265
6000,773097
5500,707514
5000,643304
4000,514828
3000,386545
2000,260095
1000,130080
0,2087
0,1819
500,65674
1000,128447
1500,192292
2000,256504
2500,321653
3500,450046
4500,578870
3500,449981
2500,321455
2000,257400
1500,194367
1000,129193
500,64865
0,964
0,1374
2000,257312
4000,514628
5000,640884
6000,769421
7000,898639
8000,1030733
9000,1160191
9500,1225137
10000,1289791
10500,1353323
11000,1418537
11500,1484773
11500,1485167
11000,1419121
10500,1354185
10000,1289534
9500,1225034
9000,1161786
8000,1032603
7000,906543
6000,777374
5000,649088
4000,517113
2000,259673
0,2742
0,2332
500,63801
1000,126586
1500,190635
2000,254737
2500,319982
2000,256967
1500,192837
1000,127492
500,63456
0,-675
0,-820
2000,255438
4000,1085764
5000,641795
6000,767807
7000,897293
8000,1029191
9000,1157891
9500,1222929
10000,1286599
10500,1351079
11000,1416087
11500,1482272
11500,1482346
11000,1416319
10500,1351409
10000,1286714
9500,1222413
9000,1159280
8000,1033425
7000,904086
6000,772499
5000,644223
4000,514936
2000,257536
0,840
0,327
1000,128131
2000,254014
3000,382632
4000,513590
5000,641726
5500,706340
6000,770831
6500,835183
7000,898512
7500,964426
7500,964435
7000,899976
6500,836819
6000,772238
5500,706468
5000,642379
4000,516582
3000,388328
2000,259319
1000,128356
0,258
0,-1247
1000,126623
2000,252407
3000,380876
4000,509243
5000,640363
5000,640437
4000,509548
3000,381471
2000,255759
1000,127396
0,-504
0,-982
2000,255512
4000,512865
5000,641772
6000,768018
7000,896753
8000,1026358
8500,1091172
8500,1091239
8000,1026611
7000,897572
6000,771732
5000,642617
4000,514252
2000,257051
0,281
0,139
2000,255842
4000,512546
5000,638601
6000,768320
7000,896667
8000,1028212
8500,1092833
8000,1028400
7000,902656
6000,774729
5000,644925
4000,513545
2000,256548
0,228
0,-910
2000,255703
4000,513383
5000,642596
6000,768817
7000,897812
8000,1026512
8500,1091490
8500,1091514
8000,1026763
7000,897419
6000,769095
5000,640319
4000,514548
2000,256891
0,-172
4500,576203
4500,576289
3500,450442
4500,576371
3500,450376
2500,321576
1500,193727
500,62789
0,-1212
0,-1645
1000,124566
2000,253538
3000,382135
4000,512227
4500,576725
4500,576760
4000,512282
3000,385680
2000,257205
1000,129000
0,-1409
0,-8938
0,-15430
0,-20652
0,-24192
0,-28404
0,-2087
0,-306
500,19672
1000,52057
1500,96005
2000,153226
2500,214220
2000,151444
1500,97107
1000,52110
500,19105
0,-2330
0,-144
0,-132
0,-152
1000,54293
1000,-213
,-247
1000,53745
2000,153476
1000,53619
0,-410
1000,53389
2000,152963
3000,279674
4000,410515
5000,541292
6000,672137
7000,803173
7500,868776
7000,803474
6500,738115
6000,672150
5500,607206
5000,541676
4000,411739
3000,280976
2000,153992
1000,54304
0,-186
0,153884
0,119834
0,695295
0,119961
0,119952
500,143164
1000,178293
1500,223042
2000,274172
2500,335950
3000,399335
3500,463517
4000,527826
4500,593173
5000,655999
5500,720728
6000,786753
6500,852291
7000,914045
7500,979457
8000,1044961
8500,1109302
9000,1173736
9500,1238651
10000,1302192
10500,1367815
11000,1432328
11500,1497130
12000,1561631
11500,1499903
11000,1435036
10500,1369851
10000,1304220
9500,1239965
9000,1174797
8500,1110783
8000,1045706
7500,982721
7000,917500
6500,851666
6000,786482
5500,720102
5000,655644
4500,592672
4000,527671
3500,463559
3000,399225
2500,336325
2000,273724
1500,218051
1000,173768
500,140901
0,118496
0,118138
0,118139
0,118025
