0,51
500,63974
1000,128745
1500,192001
2000,256028
2500,320156
2500,320198
2000,256177
1500,192356
1000,127558
500,64200
0,354
0,453
1000,128375
2000,257600
3000,384133
4000,513027
5000,641919
5500,706371
6000,772189
6500,836554
7000,899999
7500,965330
7500,964943
7000,900447
6500,836265
6000,773097
5500,707514
5000,643304
4000,514828
3000,386545
2000,260095
1000,130080
0,2087
0,1819
500,65674
1000,128447
1500,192292
2000,256504
2500,321653
3500,450046
4500,578870
3500,449981
2500,321455
2000,257400
1500,194367
1000,129193
500,64865
0,964
0,1374
2000,257312
4000,514628
5000,640884
6000,769421
7000,898639
8000,1030733
9000,1160191
9500,1225137
10000,1289791
10500,1353323
11000,1418537
11500,1484773
11500,1485167
11000,1419121
10500,1354185
10000,1289534
9500,1225034
9000,1161786
8000,1032603
7000,906543
6000,777374
5000,649088
4000,517113
2000,259673
0,2742
0,2332
500,63801
1000,126586
1500,190635
2000,254737
2500,319982
2000,256967
1500,192837
1000,127492
500,63456
0,-675
0,-820
2000,255438
4000,1085764
5000,641795
6000,767807
7000,897293
8000,1029191
9000,1157891
9500,1222929
10000,1286599
10500,1351079
11000,1416087
11500,1482272
11500,1482346
11000,1416319
10500,1351409
10000,1286714
9500,1222413
9000,1159280
8000,1033425
7000,904086
6000,772499
5000,644223
4000,514936
2000,257536
0,840
0,327
1000,128131
2000,254014
3000,382632
4000,513590
5000,641726
5500,706340
6000,770831
6500,835183
7000,898512
7500,964426
7500,964435
7000,899976
6500,836819
6000,772238
5500,706468
5000,642379
4000,516582
3000,388328
2000,259319
1000,128356
0,258
0,-1247
1000,126623
2000,252407
3000,380876
4000,509243
5000,640363
5000,640437
4000,509548
3000,381471
2000,255759
1000,127396
0,-504
0,-982
2000,255512
4000,512865
5000,641772
6000,768018
7000,896753
8000,1026358
8500,1091172
8500,1091239
8000,1026611
7000,897572
6000,771732
5000,642617
4000,514252
2000,257051
0,281
0,139
2000,255842
4000,512546
5000,638601
6000,768320
7000,896667
8000,1028212
8500,1092833
8000,1028400
7000,902656
6000,774729
5000,644925
4000,513545
2000,256548
0,228
0,-910
2000,255703
4000,513383
5000,642596
6000,768817
7000,897812
8000,1026512
8500,1091490
8500,1091514
8000,1026763
7000,897419
6000,769095
5000,640319
4000,514548
2000,256891
0,-172
4500,576203
4500,576289
3500,450442
4500,576371
3500,450376
2500,321576
1500,193727
500,62789
0,-1212
0,-1645
1000,124566
2000,253538
3000,382135
4000,512227
4500,576725
4500,576760
4000,512282
3000,385680
2000,257205
1000,129000
0,-1409
